Country Name,2018 Happiness Score
Finland,7.632000000000001
Norway,7.593999999999999
Denmark,7.555
Iceland,7.495
Switzerland,7.487
Netherlands,7.441
Canada,7.327999999999999
New Zealand,7.324
Sweden,7.314
Australia,7.272
United Kingdom,7.19
Austria,7.138999999999999
Costa Rica,7.072
Ireland,6.977
Germany,6.965
Belgium,6.9270000000000005
Luxembourg,6.91
United States,6.886
Israel,6.814
United Arab Emirates,6.774
Czech Republic,6.711
Malta,6.627000000000001
France,6.489
Mexico,6.4879999999999995
Chile,6.476
Taiwan,6.441
Panama,6.43
Brazil,6.419
Argentina,6.388
Guatemala,6.382000000000001
Uruguay,6.379
Qatar,6.374
Saudi Arabia,6.371
Singapore,6.343
Malaysia,6.322
Spain,6.31
Colombia,6.26
Trinidad & Tobago,6.192
Slovakia,6.172999999999999
El Salvador,6.167000000000001
Nicaragua,6.141
Poland,6.122999999999999
Bahrain,6.105
Uzbekistan,6.096
Kuwait,6.082999999999999
Thailand,6.072
Italy,6.0
Ecuador,5.973
Belize,5.956
Lithuania,5.952000000000001
Slovenia,5.9479999999999995
Romania,5.945
Latvia,5.933
Japan,5.915
Mauritius,5.891
Jamaica,5.89
South Korea,5.875
Northern Cyprus,5.835
Russia,5.81
Kazakhstan,5.79
Cyprus,5.7620000000000005
Bolivia,5.752000000000001
Estonia,5.739
Paraguay,5.681
Peru,5.662999999999999
Kosovo,5.662000000000001
Moldova,5.64
Turkmenistan,5.636
Hungary,5.62
Libya,5.566
Philippines,5.524
Honduras,5.504
Belarus,5.483
Turkey,5.483
Pakistan,5.472
Hong Kong,5.43
Portugal,5.41
Serbia,5.398
Greece,5.358
Lebanon,5.358
Montenegro,5.347
Croatia,5.321000000000001
Dominican Republic,5.3020000000000005
Algeria,5.295
Morocco,5.254
China,5.246
Azerbaijan,5.2010000000000005
Tajikistan,5.199
Macedonia,5.185
Jordan,5.1610000000000005
Nigeria,5.155
Kyrgyzstan,5.131
Bosnia and Herzegovina,5.129
Mongolia,5.125
Vietnam,5.103
Indonesia,5.093
Bhutan,5.082
Somalia,4.982
Cameroon,4.975
Bulgaria,4.933
Nepal,4.88
Venezuela,4.806
Gabon,4.758
Palestinian Territories,4.743
South Africa,4.724
Iran,4.707
Ivory Coast,4.671
Ghana,4.657
Senegal,4.631
Laos,4.623
Tunisia,4.592
Albania,4.586
Sierra Leone,4.571000000000001
Congo (Brazzaville),4.559
Bangladesh,4.5
Sri Lanka,4.471
Iraq,4.456
Mali,4.447
Namibia,4.441
Cambodia,4.433
Burkina Faso,4.4239999999999995
Egypt,4.419
Mozambique,4.417
Kenya,4.41
Zambia,4.377
Mauritania,4.356
Ethiopia,4.35
Georgia,4.34
Armenia,4.321000000000001
Myanmar,4.308
Chad,4.301
Congo (Kinshasa),4.245
India,4.19
Niger,4.166
Uganda,4.1610000000000005
Benin,4.141
Sudan,4.138999999999999
Ukraine,4.103
Togo,3.9989999999999997
Guinea,3.964
Lesotho,3.8080000000000003
Angola,3.795
Madagascar,3.7739999999999996
Zimbabwe,3.6919999999999997
Afghanistan,3.6319999999999997
Botswana,3.59
Malawi,3.5869999999999997
Haiti,3.582
Liberia,3.495
Syria,3.4619999999999997
Rwanda,3.408
Yemen,3.355
Tanzania,3.303
South Sudan,3.2539999999999996
Central African Republic,3.083
Burundi,2.905
